komuna,Gjithsej,Total,X,Y,id,business_density,section
Deçan,22,29548,20.243400735090102,42.5623945553133,0,0.7445512386625153,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Gjakovë,90,69256,20.3612940575193,42.4055034707496,1,1.299526394824997,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Drenas,59,41236,20.8723189592705,42.6168003291109,3,1.4307886312930451,Ndërtimtari
Gjilan,124,66714,21.585032793763,42.4034350546574,2,1.8586803369607579,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Dragash,11,25339,20.6779653106882,42.0044138017949,5,0.4341134219977111,"Bujqësi, pylltari dhe peshkatari"
Istog,26,28480,20.491635549751603,42.7856328246819,4,0.9129213483146067,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Kaçanik,32,23828,21.2555538435172,42.24341555847,7,1.342957864696995,Prodhim
Klinë,31,27098,20.6082499726122,42.6153824056086,6,1.1439958668536423,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Fushë Kosovë,122,0,21.039319563087197,42.61821118390711,10,0.0,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Kamenicë,27,27185,21.643507975079398,42.629213279606,9,0.9931947765311753,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Mitrovicë,92,51558,20.935126487940103,42.9434500137801,12,1.7843981535358238,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Leposaviq,5,0,20.8112414789355,43.12852326517321,11,0.0,"Bujqësi, pylltari dhe peshkatari"
Lipjan,69,40410,21.020850184958302,42.5347009965035,15,1.7074981440237567,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Novobërdë,13,5086,21.4198755770514,42.5544089502188,14,2.5560361777428233,"Bujqësi, pylltari dhe peshkatari"
Obiliq,20,15130,21.078835930931803,42.726851645924505,13,1.3218770654329146,Akomodim dhe aktivitete të shërbimeve  me ushqim
Rahovec,27,40127,20.6159138656811,42.410096362359795,17,0.6728636578862113,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Pejë,146,71457,20.2256226472019,42.688862392420795,16,2.043186811648964,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Podujevë,67,61691,21.158630314885897,42.9482739887055,21,1.0860579338963543,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Prishtinë,759,147494,21.270818608137397,42.6996260423513,20,5.145972039540592,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Prizren,175,128582,20.6941423844297,42.2114315068722,18,1.360999206731891,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Skënderaj,23,35827,20.7882571228731,42.732906462759296,24,0.6419739302760489,"Bujqësi, pylltari dhe peshkatari"
Shtime,18,18743,21.0299930294413,42.4337577494932,23,0.9603585338526384,Prodhim
Shtërpcë,10,0,21.0036824552811,42.235782539098395,22,0.0,"Bujqësi, pylltari dhe peshkatari"
Suharekë,58,42313,20.8498703867173,42.363765401585496,27,1.3707371257060477,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Ferizaj,183,77044,21.143618596764604,42.3760653308032,26,2.375266081719537,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Viti,47,32819,21.3124372451749,42.338611216194295,25,1.4320972607331117,Prodhim
Vushtrri,55,50236,20.9814721778087,42.8161387374413,30,1.0948323911139421,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Zubin Potok,1,0,20.640501630445602,42.9218291630997,29,0.0,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Zveçan,2,0,20.7843513338577,42.976023809740106,28,0.0,Informacion dhe komunikim
Malishevë,35,35773,20.714511835412,42.5024646750472,33,0.9783915243339948,Ndërtimtari
Junik,1,0,20.2014138079546,42.509638768744004,32,0.0,"Bujqësi, pylltari dhe peshkatari"
Mamushë,0,3681,20.7338044000107,42.3253727850614,31,0.0,"Bujqësi, pylltari dhe peshkatari"
Hani i Elezit,12,0,21.2586432550405,42.15330780268,36,0.0,Transport dhe ruajtje
Graçanicë,25,0,21.1652318498971,42.5769928912085,35,0.0,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Ranillug,1,3211,21.615597602235397,42.5092012433326,34,0.3114294612270321,Prodhim
Partesh,0,1447,21.4780563301995,42.4039627704677,38,0.0,"Bujqësi, pylltari dhe peshkatari"
Kllokot,5,1886,21.391632512886602,42.346718206876,37,2.651113467656416,Prodhim
Mitrovicë Veriore,1,0,0.0,0.0,Mitrovicë Veriore,0.0,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
Gjithsej,2394,0,0.0,0.0,Gjithsej,0.0,"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave"
