section,section_amount
"Bujqësi, pylltari dhe peshkatari",23
Xehetari dhe gurëthyes,7
Prodhim,50
"Furnizim me energji elektrike, gaz avull dhe ajër të kondicionuar",4
"Furnizim me ujë, kanalizim, menaxhim mbeturinash dhe aktivitete revitalizimi të tokës",2
Ndërtimtari,44
"Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave",170
Transport dhe ruajtje,18
Akomodim dhe aktivitete të shërbimeve  me ushqim,67
Informacion dhe komunikim,79
Aktivitete financiare dhe sigurimit,10
Aktivitete të patundshmërisë,12
"Aktivitete profesionale, shkencore dhe teknike",139
Aktivitete administrative dhe mbështetëse,46
Administratë publike dhe mbrojtje: sigurim social I detyrueshëm,4
Arsim,15
Shëndetësi njerëzore dhe aktivitete të punës sociale,23
"Art, zbavitje dhe rekreacion",17
Aktivitete të shërbimeve tjera,29
