"Numri i ndërmarrjeve të reja sipas komunave dhe seksioneve të aktiviteteve ekonomike"

"periudha";"viti";"komuna";"Gjithsej";"A Bujqësi, pylltari dhe peshkatari";"B Xehetari dhe gurëthyes";"C Prodhim";"D Furnizim me energji elektrike, gaz avull dhe ajër të kondicionuar";"E Furnizim me ujë, kanalizim, menaxhim mbeturinash dhe aktivitete revitalizimi të tokës";"F Ndërtimtari";"G Tregti me shumicë dhe pakicë, riparim i mjeteve motorike, motoçikletave";"H Transport dhe ruajtje";"I Akomodim dhe aktivitete të shërbimeve  me ushqim";"J Informacion dhe komunikim";"K Aktivitete financiare dhe sigurimit";"L Aktivitete të patundshmërisë";"M Aktivitete profesionale, shkencore dhe teknike";"N Aktivitete administrative dhe mbështetëse";"O Administratë publike dhe mbrojtje: sigurim social I detyrueshëm";"P Arsim";"Q Shëndetësi njerëzore dhe aktivitete të punës sociale";"R Art, zbavitje dhe rekreacion";"S Aktivitete të shërbimeve tjera"
"TM1";"2019";"Deçan";22;2;-;2;-;-;3;5;1;2;1;-;-;2;-;-;-;-;1;3
"TM1";"2019";"Gjakovë";90;4;-;12;-;-;9;26;1;9;1;-;-;11;5;-;4;3;2;3
"TM1";"2019";"Gllogoc";59;3;-;6;-;1;14;14;1;7;1;-;-;1;4;-;2;1;1;3
"TM1";"2019";"Gjilan";124;3;-;16;-;-;13;42;-;16;6;1;-;10;6;1;1;3;3;3
"TM1";"2019";"Dragash";11;2;-;1;-;-;2;2;1;2;1;-;-;-;-;-;-;-;-;-
"TM1";"2019";"Istog";26;2;-;4;-;-;4;9;-;2;1;-;-;1;2;-;-;-;1;-
"TM1";"2019";"Kaçanik";32;2;-;8;-;1;5;5;-;3;2;-;-;-;1;-;1;-;-;4
"TM1";"2019";"Klinë";31;4;-;2;-;-;4;8;3;4;-;-;-;2;2;-;-;1;-;1
"TM1";"2019";"F.Kosovë";122;-;-;10;-;-;9;33;4;15;9;-;2;11;15;-;3;-;3;8
"TM1";"2019";"Kamenicë";27;2;1;5;-;-;2;9;-;1;2;1;-;2;-;-;-;1;1;-
"TM1";"2019";"Mitrovicë";92;-;2;5;-;-;7;26;5;12;11;-;-;9;7;-;1;-;2;5
"TM1";"2019";"Leposaviq";5;3;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-
"TM1";"2019";"Lipjan";69;9;-;4;-;-;9;21;-;7;5;-;-;3;3;-;-;1;4;3
"TM1";"2019";"Novobërdë";13;9;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1
"TM1";"2019";"Obiliq";20;-;-;2;-;1;1;4;-;5;1;-;1;1;-;-;1;-;-;3
"TM1";"2019";"Rahovec";27;-;1;5;1;-;3;8;3;2;-;-;-;2;1;-;-;-;-;1
"TM1";"2019";"Pejë";146;9;1;21;-;-;19;38;3;20;2;1;1;10;5;-;3;4;3;6
"TM1";"2019";"Podujevë";67;5;-;14;-;-;8;16;4;6;3;2;-;4;-;-;1;2;-;2
"TM1";"2019";"Prishtinë";759;23;7;50;4;2;44;170;18;67;79;10;12;139;46;4;15;23;17;29
"TM1";"2019";"Prizren";175;4;1;28;1;-;12;52;7;18;4;2;2;17;9;-;1;5;7;5
"TM1";"2019";"Skenderaj";23;6;-;6;-;-;1;5;1;1;1;-;-;2;-;-;-;-;-;-
"TM1";"2019";"Shtime";18;1;-;4;-;-;3;3;1;2;-;-;1;-;-;-;-;-;1;2
"TM1";"2019";"Shtërpce";10;2;-;2;-;-;-;1;1;2;1;-;-;-;1;-;-;-;-;-
"TM1";"2019";"Suharekë";58;1;1;13;-;1;6;16;2;3;-;-;-;4;2;-;2;3;3;1
"TM1";"2019";"Ferizaj";183;7;1;30;1;1;24;42;8;16;8;-;1;16;9;-;2;2;5;10
"TM1";"2019";"Viti";47;4;-;12;-;1;12;8;-;4;2;-;-;-;2;-;-;-;-;2
"TM1";"2019";"Vushtrri";55;6;-;2;-;1;7;13;3;3;6;1;2;-;6;-;-;-;-;5
"TM1";"2019";"Zubin Potok";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-
"TM1";"2019";"Zveqan";2;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-
"TM1";"2019";"Malishevë";35;6;-;3;-;-;8;7;-;2;3;-;-;2;1;-;-;3;-;-
"TM1";"2019";"Juniku";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"TM1";"2019";"Mamushë";0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0
"TM1";"2019";"Hani Elezit";12;1;-;1;-;-;1;2;3;1;-;-;-;1;1;-;1;-;-;-
"TM1";"2019";"Graçanica";25;-;-;2;-;-;1;8;-;6;1;1;-;2;2;-;-;-;1;1
"TM1";"2019";"Ranillug";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"TM1";"2019";"Partesh";0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"TM1";"2019";"Kllokot";5;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-
"TM1";"2019";"Mitr. Veriore";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-
